States/Uts,Cities,2015 - SO2,2015 - NO2,2015 - PM10,2016 - SO2,2016 - NO2,2016 - PM10,2017 - SO2,2017 - NO2,2017 - PM10
Andhra Pradesh,Vijaywada,6,37,110,6,44,102,6,29,99
Andhra Pradesh,Vishakhapatnam,9,19,61,8,18,77,9,17,73
Bihar,Patna,4,41,204,4,32,212,5,39,156
Chattisgarh,Raipur,13,36,188,12,31,148,10,30,214
Delhi,Delhi,5,65,220,7,66,278,7,68,241
Gujarat,Ahmedabad,13,21,89,14,27,108,13,29,114
Gujarat,Rajkot,13,19,83,13,21,92,15,21,100
Gujarat,Surat,14,20,89,13,22,92,16,24,99
Gujarat,Vadodara,14,20,87,14,23,92,15,22,103
Jharkhand,Dhanbad,12,37,168,15,37,226,15,37,238
Jharkhand,Ranchi,19,36,220,20,37,196,19,37,142
Karnataka,Bangalore,6,20,119,3,31,103,2,31,91
Madhya Pradesh,Bhopal,3,23,158,3,15,89,4,15,93
Madhya Pradesh,Gwalior,10,14,125,10,14,96,10,17,110
Madhya Pradesh,Indore,11,20,97,11,20,95,11,21,80
Madhya Pradesh,Jabalpur,9,28,90,10,23,71,10,21,74
Maharashtra,Aurangabad,13,40,83,14,39,92,10,33,83
Maharashtra,Dombivali/Ambernath,20,53,104,26,76,128,27,70,177
Maharashtra,Mumbai,4,25,107,6,30,119,3,18,151
Maharashtra,Nagpur,10,25,90,16,26,118,9,28,95
Maharashtra,Nashik,15,23,78,13,27,85,12,22,79
Maharashtra,Navi Mumbai,18,42,125,19,46,118,22,45,105
Maharashtra,Pimpri Chinchwad,23,52,102,32,71,105,24,61,82
Maharashtra,Pune,23,62,99,28,78,107,21,65,102
Maharashtra,Thane,28,58,117,18,60,122,18,47,125
Punjab,Amritsar,11,30,148,12,29,194,11,27,168
Punjab,Ludhiana,11,27,139,11,25,139,9.5,28,162
Rajasthan,Jaipur,7,36,171,8,33,199,8,31,178
Rajasthan,Jodhpur,6,24,152,6,23,168,6,22,182
Rajasthan,Kota,6,34,134,7,30,109,8,27,132
Tamilnadu,Chennai,13,20,59,10,18,65,11,16,66
Tamilnadu,Coimbatore,4,25,47,6,24,59,5,26,49
Tamilnadu,Madurai,13,25,64,15,24,76,14,23,67
Telangana,Hydrabad,4,23,93,4,27,100,6,34,120
Uttar Pradesh,Agra,4,22,186,5,22,198,4,23,193
Uttar Pradesh,Allahabad,4,26,250,4,37,196,4,40,140
Uttar Pradesh,Ghaziabad,23,37,260,15,28,235,22,35,283
Uttar Pradesh,Kanpur,6,36,201,7,39,217,7,45,224
Uttar Pradesh,Lucknow,8,28,169,8,27,214,8,26,247
Uttar Pradesh,Meerut,6,39,144,7,55,157,7,52,153
Uttar Pradesh,Varanasi,19,33,145,11,32,256,10,40,215
West Bengal,Howrah,15,43,123,10,59,119,11,61,91
West Bengal,Kolkata,7,56,105,4,49,113,4,37,109
